Sr.No.,Course,Job profession,Student,Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist,s/p,P1,P2,P3,P4,P5,P6,P7,P8
1.0,,Astronomer,S1,4.0,0.0,4.666666666666667,7.333333333333333,8.0,5.0,8.666666666666668,9.5,s1,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S2,4.666666666666667,0.6666666666666666,4.666666666666667,7.333333333333333,7.333333333333333,5.0,8.666666666666668,9.5,s2,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S3,5.333333333333333,1.3333333333333333,4.666666666666667,7.333333333333333,6.666666666666666,5.0,8.666666666666668,9.5,s3,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S4,6.0,2.0,4.666666666666667,7.333333333333333,9.333333333333334,5.0,8.666666666666668,9.5,s4,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S5,5.333333333333333,2.6666666666666665,4.666666666666667,7.333333333333333,10.0,5.0,9.333333333333334,9.5,s5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S6,4.666666666666667,2.0,4.666666666666667,7.333333333333333,8.0,5.0,9.333333333333334,9.5,s6,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S7,4.0,1.3333333333333333,4.666666666666667,7.333333333333333,7.333333333333333,5.0,9.333333333333334,9.5,s7,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S8,6.0,0.6666666666666666,4.666666666666667,7.333333333333333,6.666666666666666,5.0,9.333333333333334,9.5,s8,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S9,4.0,0.0,4.666666666666667,7.333333333333333,9.333333333333334,5.0,9.333333333333334,9.5,s9,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S10,4.666666666666667,0.0,5.333333333333333,7.333333333333333,10.0,5.555555555555555,9.333333333333334,9.5,s10,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S11,5.333333333333333,0.6666666666666666,5.333333333333333,7.333333333333333,8.0,5.555555555555555,9.333333333333334,9.5,s11,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S12,6.0,1.3333333333333333,5.333333333333333,7.333333333333333,7.333333333333333,5.555555555555555,9.333333333333334,9.5,s12,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S13,5.333333333333333,2.0,5.333333333333333,8.0,6.666666666666666,5.555555555555555,9.333333333333334,9.5,s13,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S14,4.666666666666667,2.6666666666666665,5.333333333333333,8.0,9.333333333333334,5.555555555555555,9.333333333333334,9.5,s14,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S15,4.0,2.0,5.333333333333333,8.0,10.0,5.555555555555555,9.333333333333334,9.0,s15,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S16,6.0,1.3333333333333333,5.333333333333333,8.0,6.666666666666666,5.555555555555555,9.333333333333334,9.0,s16,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S17,4.0,0.6666666666666666,5.333333333333333,8.0,6.666666666666666,5.555555555555555,10.0,9.0,s17,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S18,4.666666666666667,0.0,5.333333333333333,8.666666666666668,7.333333333333333,5.555555555555555,10.0,9.0,s18,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S19,5.333333333333333,0.0,5.333333333333333,8.666666666666668,7.333333333333333,5.555555555555555,10.0,9.0,s19,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S20,6.0,0.6666666666666666,6.0,8.666666666666668,8.0,6.111111111111112,10.0,9.0,s20,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S21,5.333333333333333,1.3333333333333333,6.0,8.666666666666668,7.333333333333333,6.111111111111112,10.0,9.0,s21,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S22,4.666666666666667,2.0,6.0,8.666666666666668,6.666666666666666,6.111111111111112,7.333333333333333,9.0,s22,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S23,4.0,2.6666666666666665,6.0,8.666666666666668,9.333333333333334,6.111111111111112,7.333333333333333,9.0,s23,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S24,6.0,2.0,6.0,8.666666666666668,10.0,6.111111111111112,7.333333333333333,9.0,s24,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S25,4.0,1.3333333333333333,6.0,8.666666666666668,7.333333333333333,6.111111111111112,7.333333333333333,9.5,s25,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S26,4.666666666666667,0.6666666666666666,6.0,9.333333333333334,7.333333333333333,6.111111111111112,7.333333333333333,10.0,s26,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S27,5.333333333333333,0.0,6.0,9.333333333333334,8.0,6.111111111111112,7.333333333333333,10.0,s27,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S28,6.0,0.0,6.0,9.333333333333334,8.0,6.111111111111112,7.333333333333333,10.0,s28,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
,,Astronomer,S29,5.333333333333333,0.0,6.0,9.333333333333334,7.333333333333333,6.111111111111112,7.333333333333333,10.0,s29,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0
